===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
81,,81,2010-04-29 00:00:00,9.39357089996338,9.64285659790039,9.357500076293944,9.59428596496582,558840800.0,,Sample01,81,733891.0,Broker,81,99929.33795638086,100025.28081603051,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2010-04-30 00:00:00,9.618213653564451,9.663213729858398,9.321429252624512,9.3246431350708,542463600.0,,Sample01,82,733892.0,Broker,82,99929.33795638086,100022.58438773156,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2010-05-03 00:00:00,9.422857284545898,9.567143440246582,9.38857078552246,9.512499809265137,454342000.0,,Sample01,83,733895.0,Broker,83,99929.33795638086,100024.4629544735,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2010-05-04 00:00:00,9.38892936706543,9.40321445465088,9.16964340209961,9.238571166992188,723819600.0,,Sample01,84,733896.0,Broker,84,99929.33795638086,100021.72366805078,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2010-05-05 00:00:00,9.036786079406738,9.21928596496582,8.883213996887207,9.142499923706056,883103200.0,,Sample01,85,733897.0,Broker,85,99929.33795638086,100020.76295561792,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2010-05-06 00:00:00,9.065357208251951,9.223214149475098,7.116071224212647,8.79464340209961,1285860800.0,,Sample01,86,733898.0,Broker,86,100019.90087489129,100019.90087489129,BuySell,86,,9.361562361717223,Trades - Net Profit/Loss,86,19.999566764831524,
87,,87,2010-05-07 00:00:00,8.70392894744873,8.806071281433105,8.043213844299316,8.42357063293457,1676018400.0,,Sample01,87,733899.0,Broker,87,100019.90087489129,100019.90087489129,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2010-05-10 00:00:00,8.9375,9.094642639160156,8.876070976257324,9.071070671081545,984306400.0,,Sample01,88,733902.0,Broker,88,100019.90087489129,100019.90087489129,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2010-05-11 00:00:00,8.994285583496094,9.28178596496582,8.946429252624512,9.161429405212402,848906800.0,,Sample01,89,733903.0,Broker,89,100019.90087489129,100019.90087489129,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2010-05-12 00:00:00,9.258570671081545,9.397500038146973,9.239286422729492,9.360357284545898,654379600.0,,Sample01,90,733904.0,Broker,90,100019.90087489129,100019.90087489129,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2010-05-13 00:00:00,9.400713920593262,9.464285850524902,9.157142639160156,9.227143287658691,599712400.0,,Sample01,91,733905.0,Broker,91,99925.79972854615,100018.07116142273,BuySell,91,9.019785499572754,,Trades - Net Profit/Loss,91,,
92,,92,2010-05-14 00:00:00,9.1128568649292,9.15999984741211,8.910714149475098,9.0649995803833,759362800.0,,Sample01,92,733906.0,Broker,92,100016.8371686268,100016.8371686268,BuySell,92,,9.29739984512329,Trades - Net Profit/Loss,92,,-3.0637062644958495
93,,93,2010-05-17 00:00:00,9.096428871154783,9.149286270141602,8.846785545349121,9.079285621643066,762834800.0,,Sample01,93,733909.0,Broker,93,100016.8371686268,100016.8371686268,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2010-05-18 00:00:00,9.177857398986816,9.233928680419922,8.937856674194336,9.012857437133787,782678400.0,,Sample01,94,733910.0,Broker,94,100016.8371686268,100016.8371686268,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2010-05-19 00:00:00,8.910714149475098,9.032856941223145,8.744643211364746,8.869285583496094,1025726800.0,,Sample01,95,733911.0,Broker,95,100016.8371686268,100016.8371686268,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2010-05-20 00:00:00,8.638570785522461,8.708929061889648,8.436071395874023,8.491429328918457,1282915200.0,,Sample01,96,733912.0,Broker,96,100016.8371686268,100016.8371686268,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2010-05-21 00:00:00,8.3149995803833,8.73214340209961,8.262499809265137,8.65428638458252,1223891200.0,,Sample01,97,733913.0,Broker,97,100016.8371686268,100016.8371686268,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2010-05-24 00:00:00,8.831428527832031,8.960714340209961,8.795000076293945,8.812856674194336,754238800.0,,Sample01,98,733916.0,Broker,98,100016.8371686268,100016.8371686268,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2010-05-25 00:00:00,8.548213958740234,8.812856674194336,8.470000267028809,8.757857322692871,1048006400.0,,Sample01,99,733917.0,Broker,99,100016.8371686268,100016.8371686268,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2010-05-26 00:00:00,8.931428909301758,9.004643440246582,8.70535659790039,8.71821403503418,850654000.0,,Sample01,100,733918.0,Broker,100,100016.8371686268,100016.8371686268,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2010-05-27 00:00:00,8.949999809265137,9.067500114440918,8.896785736083984,9.048213958740234,666282400.0,,Sample01,101,733919.0,Broker,101,100016.8371686268,100016.8371686268,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2010-05-28 00:00:00,9.26392936706543,9.264286041259766,9.048213958740234,9.174285888671877,815614800.0,,Sample01,102,733920.0,Broker,102,99924.10523566247,100015.84809454919,BuySell,102,8.912490749359131,,Trades - Net Profit/Loss,102,,
103,,103,2010-06-01 00:00:00,9.274642944335938,9.497857093811035,9.248571395874023,9.315357208251951,876472800.0,,Sample01,103,733924.0,Broker,103,99924.10523566247,100017.25880774499,BuySell,103,,,Trades - Net Profit/Loss,103,,
